ORGNR,ORGNAVN,REGION,KOMPLEKSNR,KOMPLNAVN,EIENDOMSNR,EIENDOMSNAVN,ADRESSE1,POSTNR,POSTSTED,EIENDOMSTYPE,KOMMUNE,GNR,BNR,FNR,SNR,GID,EIEFORHOLD,ERVERVAAR,TOMTEAREAL,BYGGNR,BYGGNAVN,GABNR,OPPFORTAAR,BYGGEIEFORHOLD,BRUTTO_BTA_SUM,MAALT_AREAL_SUM
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2122,JOTKAJAVRE FJELLSTUE DRIFTSBYGN.,192551161,1956,Eid,200.9,200.9,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2122,JOTKAJAVRE FJELLSTUE DRIFTSBYGN.,192551161,1956,Eid,200.9,200.9,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2123,"JOTKAJAVTE FJELLSTUE, BADSTUE",192552613,1958,Eid,16,16.9,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2123,"JOTKAJAVTE FJELLSTUE, BADSTUE",192552613,1958,Eid,16,16.9,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2124,JOTKAJAVRE FJELLSTUE - AGGREGAT.,192587107,1999,Eid,16.7,16.7,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2124,JOTKAJAVRE FJELLSTUE - AGGREGAT.,192587107,1999,Eid,16.7,16.7,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2125,JOTKAJAVRE FJELLSTUE VEDSJØ,,1920,Eid,24,24.1,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2125,JOTKAJAVRE FJELLSTUE VEDSJØ,,1920,Eid,24,24.1,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2126,JOTKAJAVRE UTHUS,19905152,1956,Eid,10,6.8,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((11.222818839328985 59.11085492516686,11.222876472315106 59.110593142192144,11.222350969386758 59.110646073203746,11.22222036639502 59.11082232451496,11.222818839328985 59.11085492516686))"
1428-4,"STATSBYGG, REGION NORD",1428-4,871,JOTKAJAVRE FJELLSTUE,1230,JOTKAJAVRE FJELLSTUE,,,,SPESIELLE EIENDOMMER,2012,36,3,0,0,2012/36/3/0,EID,,,2126,JOTKAJAVRE UTHUS,19905152,1956,Eid,10,6.8,2012/36/3/0,2012/36/3/0/0,STATSBYGG,"POLYGON ((23.93502033912562 69.7544430303032,23.934472666141357 69.7539763799694,23.93227634520233 69.75449796805727,23.93287465989178 69.7546744643401,23.93306472773363 69.7551972867263,23.93382908873095 69.75514254455621,23.93502033912562 69.7544430303032))"
